
Leonidas  	1	M	light bright green  	Healthy
Leroi     	3	M	dirty yellow        	Healthy
Ferrel    	2	M	olive yellow        	Radioactive
Todd      	2	M	dirty yellow        	Healthy
Kele      	2	M	olive yellow        	Radioactive
Byron     	2	M	light green         	Radioactive
Twyla     	2	F	olive yellow        	Radioactive
Rudiger   	2	M	dirty yellow        	Radioactive
Emlen     	2	M	dirty yellow        	Healthy
Jeana     	2	F	light green         	Radioactive
Yuri      	2	M	olive yellow        	Radioactive
Janaye    	2	F	dirty yellow        	Healthy
Lianne    	2	F	olive yellow        	Healthy
Corrina   	2	F	dirty yellow        	Healthy
Munroe    	2	M	dirty yellow        	Healthy
Patricio  	2	M	dirty yellow        	Healthy
Bevvy     	2	F	olive yellow        	Radioactive
Maisey    	2	F	dirty yellow        	Healthy
Ashlie    	2	F	olive yellow        	Healthy
Ferd      	2	M	olive yellow        	Radioactive
Ardelle   	1	F	dirty yellow        	Healthy
Jill      	1	F	olive yellow        	Radioactive
Maurizio  	1	M	dirty yellow        	Healthy
Clayton   	1	M	olive yellow        	Radioactive
Wally     	1	F	light green         	Radioactive
Damon     	1	M	dirty yellow        	Healthy
Barbette  	1	F	dirty yellow        	Healthy
Hyacinthe 	1	F	dirty yellow        	Healthy
Vincenz   	1	M	olive yellow        	Radioactive
Chastity  	1	F	dirty yellow        	Healthy
Casar     	1	M	dirty yellow        	Healthy
Heloise   	1	F	dirty yellow        	Healthy
Foss      	1	M	olive yellow        	Healthy
Ynez      	0	F	dirty yellow        	Radioactive
Alejandra 	0	F	olive yellow        	Healthy
Carmita   	0	F	dirty yellow        	Healthy
Kaela     	0	F	light green         	Healthy
Jewelle   	0	F	dirty yellow        	Healthy
Adora     	0	F	olive yellow        	Radioactive
Taddeo    	0	M	dirty yellow        	Healthy
Dagmar    	0	F	olive yellow        	Healthy
Alejandro 	0	M	olive yellow        	Radioactive
Hartwell  	0	M	dirty yellow        	Healthy
Antoni    	0	M	olive yellow        	Healthy
Abbe      	0	F	dirty yellow        	Healthy
Shea      	0	M	olive yellow        	Healthy
Poppy     	0	F	olive yellow        	Healthy
Ana       	0	F	olive yellow        	Healthy
Carleton  	0	M	dirty yellow        	Healthy
Cullen    	0	M	olive yellow        	Healthy
------------------------------------------------------------------------
Judah     	10	M	light green         	Radioactive
Garrick   	10	M	olive yellow        	Radioactive
Jeane     	10	F	dirty yellow        	Healthy
Bobinette 	10	F	light green         	Radioactive
Cassy     	10	F	olive yellow        	Radioactive
Mile      	10	M	dirty yellow        	Radioactive
Nerita    	10	F	light green         	Radioactive
Ardine    	10	F	olive yellow        	Radioactive
Chastity  	10	F	dirty yellow        	Healthy
Britte    	10	F	dirty yellow        	Radioactive
Gabriellia	10	F	olive yellow        	Radioactive
Yehudi    	10	M	dirty yellow        	Healthy
Jorry     	9	F	light green         	Healthy
Raffaello 	9	M	olive yellow        	Radioactive
Josselyn  	9	F	dirty yellow        	Radioactive
Lorenzo   	9	M	light green         	Radioactive
Adelice   	9	F	olive yellow        	Radioactive
Arvie     	9	M	dirty yellow        	Radioactive
Hy        	9	M	light green         	Healthy
Bryanty   	9	M	olive yellow        	Radioactive
Twyla     	9	F	dirty yellow        	Radioactive
Myron     	9	M	dirty yellow        	Radioactive
Noll      	9	M	olive yellow        	Radioactive
Juliet    	9	F	dirty yellow        	Healthy
Isadora   	9	F	dirty yellow        	Healthy
Jackelyn  	9	F	dirty yellow        	Radioactive
Kin       	9	M	olive yellow        	Radioactive
Sheppard  	8	M	light green         	Radioactive
Shaine    	8	F	olive yellow        	Radioactive
Isidro    	8	M	dirty yellow        	Healthy
Kristien  	8	F	light green         	Radioactive
Johna     	8	F	olive yellow        	Radioactive
Tabbie    	8	F	dirty yellow        	Radioactive
Trip      	8	M	light green         	Radioactive
Dun       	8	M	olive yellow        	Radioactive
Dannie    	8	M	dirty yellow        	Healthy
Myra      	8	F	dirty yellow        	Healthy
Kylynn    	8	F	olive yellow        	Radioactive
Anatola   	8	F	dirty yellow        	Healthy
Herb      	8	M	dirty yellow        	Healthy
Jandy     	8	F	dirty yellow        	Radioactive
Eal       	8	M	olive yellow        	Radioactive
Lyndsey   	8	F	dirty yellow        	Radioactive
Curr      	8	M	light green         	Radioactive
Conway    	8	M	olive yellow        	Radioactive
Antin     	8	M	light green         	Radioactive
Shepperd  	8	M	olive yellow        	Radioactive
Rollo     	8	M	dirty yellow        	Healthy
Lindsey   	8	F	dirty yellow        	Healthy
Wernher   	8	M	olive yellow        	Healthy
Ignace    	7	M	light green         	Radioactive
Delia     	7	F	olive yellow        	Radioactive
Benedicto 	7	M	light green         	Radioactive
Winslow   	7	M	olive yellow        	Radioactive
Pepe      	7	M	dirty yellow        	Radioactive
Kara      	7	F	light green         	Radioactive
Diandra   	7	F	olive yellow        	Radioactive
Karlik    	7	M	dirty yellow        	Healthy
Ingamar   	7	M	dirty yellow        	Radioactive
Tommie    	7	F	dirty yellow        	Healthy
Hally     	7	F	dirty yellow        	Radioactive
Lory      	7	F	olive yellow        	Radioactive
Cornelius 	7	M	dirty yellow        	Radioactive
Ellissa   	7	F	light green         	Radioactive
Ebenezer  	7	M	light green         	Radioactive
Darla     	7	F	olive yellow        	Radioactive
Ben       	7	M	dirty yellow        	Healthy
Celle     	7	F	dirty yellow        	Radioactive
Heidi     	7	F	olive yellow        	Healthy
Reynold   	7	M	light green         	Radioactive
Herminia  	7	F	dirty yellow        	Radioactive
Sutton    	7	M	olive yellow        	Radioactive
Mario     	7	M	dirty yellow        	Radioactive
Humfrid   	6	M	light green         	Radioactive
Marijo    	6	F	olive yellow        	Radioactive
Dyan      	6	F	dirty yellow        	Radioactive
Maggie    	6	F	light green         	Radioactive
Terrence  	6	M	olive yellow        	Radioactive
Brien     	6	M	dirty yellow        	Radioactive
Davon     	6	M	light green         	Radioactive
Giraud    	6	M	olive yellow        	Radioactive
Lulita    	6	F	dirty yellow        	Healthy
Dacey     	6	F	dirty yellow        	Healthy
Brigida   	6	F	olive yellow        	Radioactive
Isabella  	6	F	olive yellow        	Radioactive
Ole       	6	M	dirty yellow        	Healthy
Eolanda   	6	F	light green         	Radioactive
Griffy    	6	M	olive yellow        	Radioactive
Madelin   	6	F	dirty yellow        	Healthy
Mag       	6	F	dirty yellow        	Radioactive
Leif      	6	M	olive yellow        	Radioactive
Lucien    	6	M	light green         	Radioactive
Myrah     	6	F	dirty yellow        	Radioactive
Kikelia   	6	F	olive yellow        	Radioactive
Karoly    	6	M	dirty yellow        	Healthy
Candace   	6	F	dirty yellow        	Radioactive
Dino      	6	M	olive yellow        	Radioactive
Herrick   	6	M	dirty yellow        	Healthy
Devinne   	6	F	olive yellow        	Radioactive
Pembroke  	6	M	dirty yellow        	Healthy
Justine   	5	F	light green         	Radioactive
Darb      	5	M	olive yellow        	Radioactive
Alvis     	5	M	dirty yellow        	Healthy
Katee     	5	F	olive yellow        	Radioactive
Saba      	5	F	dirty yellow        	Healthy
Ardelia   	5	F	dirty yellow        	Healthy
Yelena    	5	F	olive yellow        	Healthy
Jennee    	5	F	dirty yellow        	Healthy
Leia      	5	F	dirty yellow        	Radioactive
Gayla     	5	F	olive yellow        	Healthy
Marcille  	5	F	light green         	Radioactive
Clarke    	5	M	dirty yellow        	Radioactive
Holt      	5	M	olive yellow        	Radioactive
Jenelle   	5	F	olive yellow        	Radioactive
Ralf      	5	M	dirty yellow        	Radioactive
Cobby     	5	M	dirty yellow        	Healthy
Maximilianus	5	M	olive yellow        	Radioactive
Clim      	5	M	dirty yellow        	Radioactive
Keary     	5	M	dirty yellow        	Radioactive
Ned       	5	M	dirty yellow        	Radioactive
Dukey     	5	M	light green         	Radioactive
Morna     	5	F	dirty yellow        	Healthy
Madelene  	5	F	olive yellow        	Radioactive
Rik       	5	M	olive yellow        	Healthy
Byron     	5	M	dirty yellow        	Radioactive
Jase      	4	M	dirty yellow        	Healthy
Dorthy    	4	F	olive yellow        	Radioactive
Bartholomeus	4	M	dirty yellow        	Healthy
Jehu      	4	M	olive yellow        	Radioactive
Ynes      	4	F	light green         	Radioactive
Phedra    	4	F	dirty yellow        	Healthy
Nelly     	4	F	light green         	Radioactive
Sauveur   	4	M	olive yellow        	Radioactive
Michaella 	4	F	olive yellow        	Radioactive
Karlens   	4	M	dirty yellow        	Healthy
Leroi     	4	M	dirty yellow        	Healthy
Ferrel    	3	M	olive yellow        	Radioactive
Todd      	3	M	dirty yellow        	Healthy
Kele      	3	M	olive yellow        	Radioactive
Byron     	3	M	light green         	Radioactive
Twyla     	3	F	olive yellow        	Radioactive
Rudiger   	3	M	dirty yellow        	Radioactive
Emlen     	3	M	dirty yellow        	Healthy
Jeana     	3	F	light green         	Radioactive
Yuri      	3	M	olive yellow        	Radioactive
Janaye    	3	F	dirty yellow        	Radioactive
Lianne    	3	F	olive yellow        	Healthy
Corrina   	3	F	dirty yellow        	Radioactive
Munroe    	3	M	dirty yellow        	Healthy
Patricio  	3	M	dirty yellow        	Healthy
Bevvy     	3	F	olive yellow        	Radioactive
Maisey    	3	F	dirty yellow        	Healthy
Ashlie    	3	F	olive yellow        	Radioactive
Ferd      	3	M	olive yellow        	Radioactive
Ardelle   	2	F	dirty yellow        	Healthy
Jill      	2	F	olive yellow        	Radioactive
Maurizio  	2	M	dirty yellow        	Healthy
Clayton   	2	M	olive yellow        	Radioactive
Wally     	2	F	light green         	Radioactive
Damon     	2	M	dirty yellow        	Healthy
Barbette  	2	F	dirty yellow        	Healthy
Hyacinthe 	2	F	dirty yellow        	Healthy
Vincenz   	2	M	olive yellow        	Radioactive
Chastity  	2	F	dirty yellow        	Healthy
Casar     	2	M	dirty yellow        	Healthy
Heloise   	2	F	dirty yellow        	Healthy
Foss      	2	M	olive yellow        	Radioactive
Ynez      	1	F	dirty yellow        	Radioactive
Alejandra 	1	F	olive yellow        	Radioactive
Carmita   	1	F	dirty yellow        	Healthy
Kaela     	1	F	light green         	Healthy
Jewelle   	1	F	dirty yellow        	Radioactive
Adora     	1	F	olive yellow        	Radioactive
Taddeo    	1	M	dirty yellow        	Healthy
Dagmar    	1	F	olive yellow        	Healthy
Alejandro 	1	M	olive yellow        	Radioactive
Hartwell  	1	M	dirty yellow        	Healthy
Antoni    	1	M	olive yellow        	Radioactive
Abbe      	1	F	dirty yellow        	Healthy
Shea      	1	M	olive yellow        	Radioactive
Poppy     	1	F	olive yellow        	Radioactive
Ana       	1	F	olive yellow        	Radioactive
Carleton  	1	M	dirty yellow        	Healthy
Cullen    	1	M	olive yellow        	Radioactive
Anestassia	0	F	dirty yellow        	Healthy
Creighton 	0	M	olive yellow        	Radioactive
Nolie     	0	F	dirty yellow        	Healthy
Quintilla 	0	F	light green         	Healthy
Warren    	0	M	dirty yellow        	Healthy
Katlin    	0	F	dirty yellow        	Healthy
Peirce    	0	M	olive yellow        	Healthy
Tobie     	0	M	dirty yellow        	Healthy
Colline   	0	F	dirty yellow        	Healthy
Ethelin   	0	F	olive yellow        	Healthy
Audy      	0	F	dirty yellow        	Radioactive
Quintana  	0	F	olive yellow        	Healthy
Brien     	0	M	dirty yellow        	Healthy
Mahmud    	0	M	olive yellow        	Healthy
Lutero    	0	M	dirty yellow        	Healthy
------------------------------------------------------------------------
Jorry     	10	F	light green         	Healthy
Raffaello 	10	M	olive yellow        	Radioactive
Josselyn  	10	F	dirty yellow        	Radioactive
Lorenzo   	10	M	light green         	Radioactive
Adelice   	10	F	olive yellow        	Radioactive
Arvie     	10	M	dirty yellow        	Radioactive
Hy        	10	M	light green         	Healthy
Bryanty   	10	M	olive yellow        	Radioactive
Twyla     	10	F	dirty yellow        	Radioactive
Myron     	10	M	dirty yellow        	Radioactive
Noll      	10	M	olive yellow        	Radioactive
Juliet    	10	F	dirty yellow        	Radioactive
Isadora   	10	F	dirty yellow        	Healthy
Jackelyn  	10	F	dirty yellow        	Radioactive
Kin       	10	M	olive yellow        	Radioactive
Sheppard  	9	M	light green         	Radioactive
Shaine    	9	F	olive yellow        	Radioactive
Isidro    	9	M	dirty yellow        	Radioactive
Kristien  	9	F	light green         	Radioactive
Johna     	9	F	olive yellow        	Radioactive
Tabbie    	9	F	dirty yellow        	Radioactive
Trip      	9	M	light green         	Radioactive
Dun       	9	M	olive yellow        	Radioactive
Dannie    	9	M	dirty yellow        	Healthy
Myra      	9	F	dirty yellow        	Radioactive
Kylynn    	9	F	olive yellow        	Radioactive
Anatola   	9	F	dirty yellow        	Healthy
Herb      	9	M	dirty yellow        	Radioactive
Jandy     	9	F	dirty yellow        	Radioactive
Eal       	9	M	olive yellow        	Radioactive
Lyndsey   	9	F	dirty yellow        	Radioactive
Curr      	9	M	light green         	Radioactive
Conway    	9	M	olive yellow        	Radioactive
Antin     	9	M	light green         	Radioactive
Shepperd  	9	M	olive yellow        	Radioactive
Rollo     	9	M	dirty yellow        	Healthy
Lindsey   	9	F	dirty yellow        	Radioactive
Wernher   	9	M	olive yellow        	Healthy
Ignace    	8	M	light green         	Radioactive
Delia     	8	F	olive yellow        	Radioactive
Benedicto 	8	M	light green         	Radioactive
Winslow   	8	M	olive yellow        	Radioactive
Pepe      	8	M	dirty yellow        	Radioactive
Kara      	8	F	light green         	Radioactive
Diandra   	8	F	olive yellow        	Radioactive
Karlik    	8	M	dirty yellow        	Radioactive
Ingamar   	8	M	dirty yellow        	Radioactive
Tommie    	8	F	dirty yellow        	Healthy
Hally     	8	F	dirty yellow        	Radioactive
Lory      	8	F	olive yellow        	Radioactive
Cornelius 	8	M	dirty yellow        	Radioactive
Ellissa   	8	F	light green         	Radioactive
Ebenezer  	8	M	light green         	Radioactive
Darla     	8	F	olive yellow        	Radioactive
Ben       	8	M	dirty yellow        	Healthy
Celle     	8	F	dirty yellow        	Radioactive
Heidi     	8	F	olive yellow        	Healthy
Reynold   	8	M	light green         	Radioactive
Herminia  	8	F	dirty yellow        	Radioactive
Sutton    	8	M	olive yellow        	Radioactive
Mario     	8	M	dirty yellow        	Radioactive
Humfrid   	7	M	light green         	Radioactive
Marijo    	7	F	olive yellow        	Radioactive
Dyan      	7	F	dirty yellow        	Radioactive
Maggie    	7	F	light green         	Radioactive
Terrence  	7	M	olive yellow        	Radioactive
Brien     	7	M	dirty yellow        	Radioactive
Davon     	7	M	light green         	Radioactive
Giraud    	7	M	olive yellow        	Radioactive
Lulita    	7	F	dirty yellow        	Healthy
Dacey     	7	F	dirty yellow        	Radioactive
Brigida   	7	F	olive yellow        	Radioactive
Isabella  	7	F	olive yellow        	Radioactive
Ole       	7	M	dirty yellow        	Radioactive
Eolanda   	7	F	light green         	Radioactive
Griffy    	7	M	olive yellow        	Radioactive
Madelin   	7	F	dirty yellow        	Healthy
Mag       	7	F	dirty yellow        	Radioactive
Leif      	7	M	olive yellow        	Radioactive
Lucien    	7	M	light green         	Radioactive
Myrah     	7	F	dirty yellow        	Radioactive
Kikelia   	7	F	olive yellow        	Radioactive
Karoly    	7	M	dirty yellow        	Radioactive
Candace   	7	F	dirty yellow        	Radioactive
Dino      	7	M	olive yellow        	Radioactive
Herrick   	7	M	dirty yellow        	Radioactive
Devinne   	7	F	olive yellow        	Radioactive
Pembroke  	7	M	dirty yellow        	Radioactive
Justine   	6	F	light green         	Radioactive
Darb      	6	M	olive yellow        	Radioactive
Alvis     	6	M	dirty yellow        	Healthy
Katee     	6	F	olive yellow        	Radioactive
Saba      	6	F	dirty yellow        	Radioactive
Ardelia   	6	F	dirty yellow        	Radioactive
Yelena    	6	F	olive yellow        	Healthy
Jennee    	6	F	dirty yellow        	Healthy
Leia      	6	F	dirty yellow        	Radioactive
Gayla     	6	F	olive yellow        	Radioactive
Marcille  	6	F	light green         	Radioactive
Clarke    	6	M	dirty yellow        	Radioactive
Holt      	6	M	olive yellow        	Radioactive
Jenelle   	6	F	olive yellow        	Radioactive
Ralf      	6	M	dirty yellow        	Radioactive
Cobby     	6	M	dirty yellow        	Radioactive
Maximilianus	6	M	olive yellow        	Radioactive
Clim      	6	M	dirty yellow        	Radioactive
Keary     	6	M	dirty yellow        	Radioactive
Ned       	6	M	dirty yellow        	Radioactive
Dukey     	6	M	light green         	Radioactive
Morna     	6	F	dirty yellow        	Radioactive
Madelene  	6	F	olive yellow        	Radioactive
Rik       	6	M	olive yellow        	Radioactive
Byron     	6	M	dirty yellow        	Radioactive
Jase      	5	M	dirty yellow        	Healthy
Dorthy    	5	F	olive yellow        	Radioactive
Bartholomeus	5	M	dirty yellow        	Healthy
Jehu      	5	M	olive yellow        	Radioactive
Ynes      	5	F	light green         	Radioactive
Phedra    	5	F	dirty yellow        	Healthy
Nelly     	5	F	light green         	Radioactive
Sauveur   	5	M	olive yellow        	Radioactive
Michaella 	5	F	olive yellow        	Radioactive
Karlens   	5	M	dirty yellow        	Healthy
Leroi     	5	M	dirty yellow        	Healthy
Ferrel    	4	M	olive yellow        	Radioactive
Todd      	4	M	dirty yellow        	Healthy
Kele      	4	M	olive yellow        	Radioactive
Byron     	4	M	light green         	Radioactive
Twyla     	4	F	olive yellow        	Radioactive
Rudiger   	4	M	dirty yellow        	Radioactive
Emlen     	4	M	dirty yellow        	Healthy
Jeana     	4	F	light green         	Radioactive
Yuri      	4	M	olive yellow        	Radioactive
Janaye    	4	F	dirty yellow        	Radioactive
Lianne    	4	F	olive yellow        	Radioactive
Corrina   	4	F	dirty yellow        	Radioactive
Munroe    	4	M	dirty yellow        	Healthy
Patricio  	4	M	dirty yellow        	Healthy
Bevvy     	4	F	olive yellow        	Radioactive
Maisey    	4	F	dirty yellow        	Healthy
Ashlie    	4	F	olive yellow        	Radioactive
Ferd      	4	M	olive yellow        	Radioactive
Ardelle   	3	F	dirty yellow        	Healthy
Jill      	3	F	olive yellow        	Radioactive
Maurizio  	3	M	dirty yellow        	Healthy
Clayton   	3	M	olive yellow        	Radioactive
Wally     	3	F	light green         	Radioactive
Damon     	3	M	dirty yellow        	Radioactive
Barbette  	3	F	dirty yellow        	Healthy
Hyacinthe 	3	F	dirty yellow        	Healthy
Vincenz   	3	M	olive yellow        	Radioactive
Chastity  	3	F	dirty yellow        	Radioactive
Casar     	3	M	dirty yellow        	Healthy
Heloise   	3	F	dirty yellow        	Healthy
Foss      	3	M	olive yellow        	Radioactive
Ynez      	2	F	dirty yellow        	Radioactive
Alejandra 	2	F	olive yellow        	Radioactive
Carmita   	2	F	dirty yellow        	Healthy
Kaela     	2	F	light green         	Healthy
Jewelle   	2	F	dirty yellow        	Radioactive
Adora     	2	F	olive yellow        	Radioactive
Taddeo    	2	M	dirty yellow        	Healthy
Dagmar    	2	F	olive yellow        	Healthy
Alejandro 	2	M	olive yellow        	Radioactive
Hartwell  	2	M	dirty yellow        	Radioactive
Antoni    	2	M	olive yellow        	Radioactive
Abbe      	2	F	dirty yellow        	Healthy
Shea      	2	M	olive yellow        	Radioactive
Poppy     	2	F	olive yellow        	Radioactive
Ana       	2	F	olive yellow        	Radioactive
Carleton  	2	M	dirty yellow        	Healthy
Cullen    	2	M	olive yellow        	Radioactive
Anestassia	1	F	dirty yellow        	Healthy
Creighton 	1	M	olive yellow        	Radioactive
Nolie     	1	F	dirty yellow        	Healthy
Quintilla 	1	F	light green         	Radioactive
Warren    	1	M	dirty yellow        	Healthy
Katlin    	1	F	dirty yellow        	Healthy
Peirce    	1	M	olive yellow        	Radioactive
Tobie     	1	M	dirty yellow        	Radioactive
Colline   	1	F	dirty yellow        	Healthy
Ethelin   	1	F	olive yellow        	Radioactive
Audy      	1	F	dirty yellow        	Radioactive
Quintana  	1	F	olive yellow        	Radioactive
Brien     	1	M	dirty yellow        	Healthy
Mahmud    	1	M	olive yellow        	Radioactive
Lutero    	1	M	dirty yellow        	Healthy
Isabella  	0	F	light green         	Radioactive
Valentin  	0	M	olive yellow        	Healthy
Caye      	0	F	dirty yellow        	Healthy
Barty     	0	M	dirty yellow        	Healthy
Vinita    	0	F	olive yellow        	Healthy
Sergei    	0	M	dirty yellow        	Healthy
Graig     	0	M	dirty yellow        	Healthy
Geneva    	0	F	dirty yellow        	Radioactive
Gerrie    	0	F	dirty yellow        	Healthy
Letty     	0	F	light green         	Healthy
Deane     	0	M	olive yellow        	Radioactive
Selig     	0	M	dirty yellow        	Healthy
------------------------------------------------------------------------
Sheppard  	10	M	light green         	Radioactive
Shaine    	10	F	olive yellow        	Radioactive
Isidro    	10	M	dirty yellow        	Radioactive
Kristien  	10	F	light green         	Radioactive
Johna     	10	F	olive yellow        	Radioactive
Tabbie    	10	F	dirty yellow        	Radioactive
Trip      	10	M	light green         	Radioactive
Dun       	10	M	olive yellow        	Radioactive
Dannie    	10	M	dirty yellow        	Healthy
Myra      	10	F	dirty yellow        	Radioactive
Kylynn    	10	F	olive yellow        	Radioactive
Anatola   	10	F	dirty yellow        	Radioactive
Herb      	10	M	dirty yellow        	Radioactive
Jandy     	10	F	dirty yellow        	Radioactive
Eal       	10	M	olive yellow        	Radioactive
Lyndsey   	10	F	dirty yellow        	Radioactive
Curr      	10	M	light green         	Radioactive
Conway    	10	M	olive yellow        	Radioactive
Antin     	10	M	light green         	Radioactive
Shepperd  	10	M	olive yellow        	Radioactive
Rollo     	10	M	dirty yellow        	Healthy
Lindsey   	10	F	dirty yellow        	Radioactive
Wernher   	10	M	olive yellow        	Radioactive
Ignace    	9	M	light green         	Radioactive
Delia     	9	F	olive yellow        	Radioactive
Benedicto 	9	M	light green         	Radioactive
Winslow   	9	M	olive yellow        	Radioactive
Pepe      	9	M	dirty yellow        	Radioactive
Kara      	9	F	light green         	Radioactive
Diandra   	9	F	olive yellow        	Radioactive
Karlik    	9	M	dirty yellow        	Radioactive
Ingamar   	9	M	dirty yellow        	Radioactive
Tommie    	9	F	dirty yellow        	Healthy
Hally     	9	F	dirty yellow        	Radioactive
Lory      	9	F	olive yellow        	Radioactive
Cornelius 	9	M	dirty yellow        	Radioactive
Ellissa   	9	F	light green         	Radioactive
Ebenezer  	9	M	light green         	Radioactive
Darla     	9	F	olive yellow        	Radioactive
Ben       	9	M	dirty yellow        	Healthy
Celle     	9	F	dirty yellow        	Radioactive
Heidi     	9	F	olive yellow        	Radioactive
Reynold   	9	M	light green         	Radioactive
Herminia  	9	F	dirty yellow        	Radioactive
Sutton    	9	M	olive yellow        	Radioactive
Mario     	9	M	dirty yellow        	Radioactive
Humfrid   	8	M	light green         	Radioactive
Marijo    	8	F	olive yellow        	Radioactive
Dyan      	8	F	dirty yellow        	Radioactive
Maggie    	8	F	light green         	Radioactive
Terrence  	8	M	olive yellow        	Radioactive
Brien     	8	M	dirty yellow        	Radioactive
Davon     	8	M	light green         	Radioactive
Giraud    	8	M	olive yellow        	Radioactive
Lulita    	8	F	dirty yellow        	Radioactive
Dacey     	8	F	dirty yellow        	Radioactive
Brigida   	8	F	olive yellow        	Radioactive
Isabella  	8	F	olive yellow        	Radioactive
Ole       	8	M	dirty yellow        	Radioactive
Eolanda   	8	F	light green         	Radioactive
Griffy    	8	M	olive yellow        	Radioactive
Madelin   	8	F	dirty yellow        	Radioactive
Mag       	8	F	dirty yellow        	Radioactive
Leif      	8	M	olive yellow        	Radioactive
Lucien    	8	M	light green         	Radioactive
Myrah     	8	F	dirty yellow        	Radioactive
Kikelia   	8	F	olive yellow        	Radioactive
Karoly    	8	M	dirty yellow        	Radioactive
Candace   	8	F	dirty yellow        	Radioactive
Dino      	8	M	olive yellow        	Radioactive
Herrick   	8	M	dirty yellow        	Radioactive
Devinne   	8	F	olive yellow        	Radioactive
Pembroke  	8	M	dirty yellow        	Radioactive
Justine   	7	F	light green         	Radioactive
Darb      	7	M	olive yellow        	Radioactive
Alvis     	7	M	dirty yellow        	Radioactive
Katee     	7	F	olive yellow        	Radioactive
Saba      	7	F	dirty yellow        	Radioactive
Ardelia   	7	F	dirty yellow        	Radioactive
Yelena    	7	F	olive yellow        	Radioactive
Jennee    	7	F	dirty yellow        	Healthy
Leia      	7	F	dirty yellow        	Radioactive
Gayla     	7	F	olive yellow        	Radioactive
Marcille  	7	F	light green         	Radioactive
Clarke    	7	M	dirty yellow        	Radioactive
Holt      	7	M	olive yellow        	Radioactive
Jenelle   	7	F	olive yellow        	Radioactive
Ralf      	7	M	dirty yellow        	Radioactive
Cobby     	7	M	dirty yellow        	Radioactive
Maximilianus	7	M	olive yellow        	Radioactive
Clim      	7	M	dirty yellow        	Radioactive
Keary     	7	M	dirty yellow        	Radioactive
Ned       	7	M	dirty yellow        	Radioactive
Dukey     	7	M	light green         	Radioactive
Morna     	7	F	dirty yellow        	Radioactive
Madelene  	7	F	olive yellow        	Radioactive
Rik       	7	M	olive yellow        	Radioactive
Byron     	7	M	dirty yellow        	Radioactive
Jase      	6	M	dirty yellow        	Radioactive
Dorthy    	6	F	olive yellow        	Radioactive
Bartholomeus	6	M	dirty yellow        	Healthy
Jehu      	6	M	olive yellow        	Radioactive
Ynes      	6	F	light green         	Radioactive
Phedra    	6	F	dirty yellow        	Radioactive
Nelly     	6	F	light green         	Radioactive
Sauveur   	6	M	olive yellow        	Radioactive
Michaella 	6	F	olive yellow        	Radioactive
Karlens   	6	M	dirty yellow        	Radioactive
Leroi     	6	M	dirty yellow        	Healthy
Ferrel    	5	M	olive yellow        	Radioactive
Todd      	5	M	dirty yellow        	Healthy
Kele      	5	M	olive yellow        	Radioactive
Byron     	5	M	light green         	Radioactive
Twyla     	5	F	olive yellow        	Radioactive
Rudiger   	5	M	dirty yellow        	Radioactive
Emlen     	5	M	dirty yellow        	Radioactive
Jeana     	5	F	light green         	Radioactive
Yuri      	5	M	olive yellow        	Radioactive
Janaye    	5	F	dirty yellow        	Radioactive
Lianne    	5	F	olive yellow        	Radioactive
Corrina   	5	F	dirty yellow        	Radioactive
Munroe    	5	M	dirty yellow        	Healthy
Patricio  	5	M	dirty yellow        	Radioactive
Bevvy     	5	F	olive yellow        	Radioactive
Maisey    	5	F	dirty yellow        	Healthy
Ashlie    	5	F	olive yellow        	Radioactive
Ferd      	5	M	olive yellow        	Radioactive
Ardelle   	4	F	dirty yellow        	Radioactive
Jill      	4	F	olive yellow        	Radioactive
Maurizio  	4	M	dirty yellow        	Radioactive
Clayton   	4	M	olive yellow        	Radioactive
Wally     	4	F	light green         	Radioactive
Damon     	4	M	dirty yellow        	Radioactive
Barbette  	4	F	dirty yellow        	Radioactive
Hyacinthe 	4	F	dirty yellow        	Radioactive
Vincenz   	4	M	olive yellow        	Radioactive
Chastity  	4	F	dirty yellow        	Radioactive
Casar     	4	M	dirty yellow        	Radioactive
Heloise   	4	F	dirty yellow        	Radioactive
Foss      	4	M	olive yellow        	Radioactive
Ynez      	3	F	dirty yellow        	Radioactive
Alejandra 	3	F	olive yellow        	Radioactive
Carmita   	3	F	dirty yellow        	Healthy
Kaela     	3	F	light green         	Healthy
Jewelle   	3	F	dirty yellow        	Radioactive
Adora     	3	F	olive yellow        	Radioactive
Taddeo    	3	M	dirty yellow        	Radioactive
Dagmar    	3	F	olive yellow        	Radioactive
Alejandro 	3	M	olive yellow        	Radioactive
Hartwell  	3	M	dirty yellow        	Radioactive
Antoni    	3	M	olive yellow        	Radioactive
Abbe      	3	F	dirty yellow        	Healthy
Shea      	3	M	olive yellow        	Radioactive
Poppy     	3	F	olive yellow        	Radioactive
Ana       	3	F	olive yellow        	Radioactive
Carleton  	3	M	dirty yellow        	Healthy
Cullen    	3	M	olive yellow        	Radioactive
Anestassia	2	F	dirty yellow        	Radioactive
Creighton 	2	M	olive yellow        	Radioactive
Nolie     	2	F	dirty yellow        	Healthy
Quintilla 	2	F	light green         	Radioactive
Warren    	2	M	dirty yellow        	Radioactive
Katlin    	2	F	dirty yellow        	Radioactive
Peirce    	2	M	olive yellow        	Radioactive
Tobie     	2	M	dirty yellow        	Radioactive
Colline   	2	F	dirty yellow        	Healthy
